time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-26 00:00:00,27.5,92.0,0.0,3.6,3,Delhi,2026-08-26,0
2026-08-26 01:00:00,27.2,93.0,0.0,4.5,3,Delhi,2026-08-26,1
2026-08-26 02:00:00,27.1,94.0,0.0,3.5,3,Delhi,2026-08-26,2
2026-08-26 03:00:00,27.0,94.0,0.0,3.5,2,Delhi,2026-08-26,3
2026-08-26 04:00:00,26.9,94.0,0.0,2.9,2,Delhi,2026-08-26,4
2026-08-26 05:00:00,26.8,94.0,0.0,3.5,3,Delhi,2026-08-26,5
2026-08-26 06:00:00,27.0,93.0,0.0,4.7,1,Delhi,2026-08-26,6
2026-08-26 07:00:00,27.8,91.0,0.0,3.4,0,Delhi,2026-08-26,7
2026-08-26 08:00:00,29.3,85.0,0.0,2.3,0,Delhi,2026-08-26,8
2026-08-26 09:00:00,30.9,73.0,1.0,3.4,0,Delhi,2026-08-26,9
2026-08-26 10:00:00,31.8,66.0,3.0,3.9,0,Delhi,2026-08-26,10
2026-08-26 11:00:00,32.6,62.0,8.0,3.1,0,Delhi,2026-08-26,11
2026-08-26 12:00:00,33.1,59.0,20.0,3.2,51,Delhi,2026-08-26,12
2026-08-26 13:00:00,33.4,59.0,36.0,3.6,51,Delhi,2026-08-26,13
2026-08-26 14:00:00,33.6,58.0,45.0,4.3,51,Delhi,2026-08-26,14
2026-08-26 15:00:00,33.5,59.0,42.0,6.2,51,Delhi,2026-08-26,15
2026-08-26 16:00:00,33.3,59.0,32.0,7.1,51,Delhi,2026-08-26,16
2026-08-26 17:00:00,32.7,64.0,22.0,5.9,1,Delhi,2026-08-26,17
2026-08-26 18:00:00,31.6,72.0,15.0,3.6,1,Delhi,2026-08-26,18
2026-08-26 19:00:00,30.6,76.0,9.0,3.6,1,Delhi,2026-08-26,19
2026-08-26 20:00:00,29.9,79.0,4.0,3.9,3,Delhi,2026-08-26,20
2026-08-26 21:00:00,29.6,80.0,1.0,3.4,3,Delhi,2026-08-26,21
2026-08-26 22:00:00,29.2,81.0,0.0,3.5,3,Delhi,2026-08-26,22
2026-08-26 23:00:00,28.9,81.0,0.0,4.4,3,Delhi,2026-08-26,23
2026-08-27 00:00:00,28.6,82.0,0.0,4.4,0,Delhi,2026-08-27,0
2026-08-27 01:00:00,28.3,82.0,1.0,3.8,0,Delhi,2026-08-27,1
2026-08-27 02:00:00,28.1,83.0,2.0,4.7,0,Delhi,2026-08-27,2
2026-08-27 03:00:00,27.7,84.0,1.0,4.7,0,Delhi,2026-08-27,3
2026-08-27 04:00:00,27.5,85.0,0.0,2.1,2,Delhi,2026-08-27,4
2026-08-27 05:00:00,27.5,85.0,0.0,0.5,3,Delhi,2026-08-27,5
2026-08-27 06:00:00,27.5,87.0,1.0,1.5,2,Delhi,2026-08-27,6
2026-08-27 07:00:00,28.4,83.0,3.0,1.7,2,Delhi,2026-08-27,7
2026-08-27 08:00:00,29.6,76.0,4.0,1.8,3,Delhi,2026-08-27,8
