time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-09-02 00:00:00,27.2,84.0,1.0,5.6,51,Delhi,2026-09-02,0
2026-09-02 01:00:00,26.5,88.0,5.0,6.6,1,Delhi,2026-09-02,1
2026-09-02 02:00:00,26.1,91.0,8.0,3.3,0,Delhi,2026-09-02,2
2026-09-02 03:00:00,26.1,91.0,7.0,2.3,0,Delhi,2026-09-02,3
2026-09-02 04:00:00,26.2,91.0,5.0,1.3,0,Delhi,2026-09-02,4
2026-09-02 05:00:00,26.1,91.0,6.0,3.5,0,Delhi,2026-09-02,5
2026-09-02 06:00:00,26.2,89.0,11.0,1.6,0,Delhi,2026-09-02,6
2026-09-02 07:00:00,27.1,85.0,18.0,0.7,1,Delhi,2026-09-02,7
2026-09-02 08:00:00,28.8,77.0,27.0,0.9,2,Delhi,2026-09-02,8
2026-09-02 09:00:00,30.4,69.0,39.0,2.3,1,Delhi,2026-09-02,9
2026-09-02 10:00:00,31.9,64.0,52.0,4.3,1,Delhi,2026-09-02,10
2026-09-02 11:00:00,33.1,59.0,65.0,6.7,51,Delhi,2026-09-02,11
2026-09-02 12:00:00,33.9,55.0,77.0,8.5,51,Delhi,2026-09-02,12
2026-09-02 13:00:00,34.2,53.0,87.0,9.5,2,Delhi,2026-09-02,13
2026-09-02 14:00:00,33.7,52.0,94.0,10.9,53,Delhi,2026-09-02,14
2026-09-02 15:00:00,30.1,71.0,96.0,16.8,96,Delhi,2026-09-02,15
2026-09-02 16:00:00,26.4,95.0,94.0,3.6,96,Delhi,2026-09-02,16
2026-09-02 17:00:00,26.8,93.0,86.0,10.5,80,Delhi,2026-09-02,17
2026-09-02 18:00:00,26.8,93.0,70.0,7.2,51,Delhi,2026-09-02,18
2026-09-02 19:00:00,26.6,93.0,49.0,6.9,3,Delhi,2026-09-02,19
2026-09-02 20:00:00,26.6,94.0,31.0,5.0,3,Delhi,2026-09-02,20
2026-09-02 21:00:00,26.6,93.0,18.0,5.5,3,Delhi,2026-09-02,21
2026-09-02 22:00:00,26.5,93.0,7.0,7.6,3,Delhi,2026-09-02,22
2026-09-02 23:00:00,26.3,93.0,0.0,6.4,3,Delhi,2026-09-02,23
2026-09-03 00:00:00,26.2,94.0,0.0,4.1,3,Delhi,2026-09-03,0
2026-09-03 01:00:00,26.0,95.0,2.0,3.4,3,Delhi,2026-09-03,1
2026-09-03 02:00:00,26.0,94.0,6.0,3.3,1,Delhi,2026-09-03,2
2026-09-03 03:00:00,25.9,95.0,11.0,3.1,0,Delhi,2026-09-03,3
2026-09-03 04:00:00,25.7,96.0,17.0,3.6,0,Delhi,2026-09-03,4
2026-09-03 05:00:00,25.6,96.0,24.0,3.7,2,Delhi,2026-09-03,5
2026-09-03 06:00:00,25.7,95.0,32.0,4.0,1,Delhi,2026-09-03,6
2026-09-03 07:00:00,26.4,91.0,40.0,4.3,0,Delhi,2026-09-03,7
2026-09-03 08:00:00,27.5,86.0,49.0,4.1,1,Delhi,2026-09-03,8
2026-09-03 09:00:00,28.7,80.0,58.0,5.1,0,Delhi,2026-09-03,9
2026-09-03 10:00:00,29.8,76.0,68.0,5.1,0,Delhi,2026-09-03,10
2026-09-03 11:00:00,30.5,74.0,75.0,6.2,51,Delhi,2026-09-03,11
2026-09-03 12:00:00,29.6,76.0,79.0,8.7,95,Delhi,2026-09-03,12
2026-09-03 13:00:00,29.5,79.0,81.0,6.0,95,Delhi,2026-09-03,13
2026-09-03 14:00:00,30.7,72.0,80.0,4.3,51,Delhi,2026-09-03,14
2026-09-03 15:00:00,31.4,67.0,76.0,2.9,51,Delhi,2026-09-03,15
2026-09-03 16:00:00,31.3,67.0,68.0,3.4,51,Delhi,2026-09-03,16
2026-09-03 17:00:00,30.7,71.0,59.0,3.9,1,Delhi,2026-09-03,17
2026-09-03 18:00:00,29.7,79.0,47.0,3.7,1,Delhi,2026-09-03,18
2026-09-03 19:00:00,28.2,86.0,33.0,5.8,95,Delhi,2026-09-03,19
2026-09-03 20:00:00,28.1,88.0,22.0,4.9,51,Delhi,2026-09-03,20
2026-09-03 21:00:00,27.5,91.0,15.0,7.2,3,Delhi,2026-09-03,21
2026-09-03 22:00:00,27.1,93.0,10.0,5.1,3,Delhi,2026-09-03,22
2026-09-03 23:00:00,26.8,93.0,8.0,5.1,2,Delhi,2026-09-03,23
2026-09-04 00:00:00,26.6,94.0,9.0,4.2,3,Delhi,2026-09-04,0
2026-09-04 01:00:00,26.4,94.0,14.0,4.0,1,Delhi,2026-09-04,1
2026-09-04 02:00:00,26.3,95.0,18.0,5.3,2,Delhi,2026-09-04,2
2026-09-04 03:00:00,26.1,94.0,22.0,4.2,0,Delhi,2026-09-04,3
2026-09-04 04:00:00,26.0,95.0,27.0,3.5,0,Delhi,2026-09-04,4
2026-09-04 05:00:00,25.8,95.0,31.0,4.3,1,Delhi,2026-09-04,5
2026-09-04 06:00:00,25.9,95.0,33.0,5.9,3,Delhi,2026-09-04,6
2026-09-04 07:00:00,26.6,92.0,34.0,5.9,3,Delhi,2026-09-04,7
2026-09-04 08:00:00,27.6,88.0,37.0,5.5,2,Delhi,2026-09-04,8
2026-09-04 09:00:00,28.8,80.0,43.0,7.6,3,Delhi,2026-09-04,9
2026-09-04 10:00:00,29.0,79.0,51.0,7.4,51,Delhi,2026-09-04,10
2026-09-04 11:00:00,29.2,79.0,59.0,6.3,51,Delhi,2026-09-04,11
2026-09-04 12:00:00,30.0,77.0,69.0,5.8,95,Delhi,2026-09-04,12
2026-09-04 13:00:00,30.5,76.0,81.0,3.2,95,Delhi,2026-09-04,13
2026-09-04 14:00:00,31.1,73.0,86.0,4.3,95,Delhi,2026-09-04,14
2026-09-04 15:00:00,30.1,72.0,83.0,10.9,51,Delhi,2026-09-04,15
2026-09-04 16:00:00,27.4,90.0,73.0,10.8,53,Delhi,2026-09-04,16
2026-09-04 17:00:00,27.2,94.0,63.0,7.2,53,Delhi,2026-09-04,17
2026-09-04 18:00:00,27.3,95.0,51.0,4.0,51,Delhi,2026-09-04,18
2026-09-04 19:00:00,27.4,94.0,38.0,5.2,3,Delhi,2026-09-04,19
