time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-25 00:00:00,28.2,91.0,41.0,2.4,3,Delhi,2026-08-25,0
2026-08-25 01:00:00,28.0,92.0,34.0,1.9,3,Delhi,2026-08-25,1
2026-08-25 02:00:00,27.9,92.0,29.0,2.9,3,Delhi,2026-08-25,2
2026-08-25 03:00:00,27.8,92.0,29.0,2.1,3,Delhi,2026-08-25,3
2026-08-25 04:00:00,27.6,93.0,31.0,1.9,3,Delhi,2026-08-25,4
2026-08-25 05:00:00,27.6,93.0,35.0,2.1,3,Delhi,2026-08-25,5
2026-08-25 06:00:00,27.7,93.0,39.0,0.6,3,Delhi,2026-08-25,6
2026-08-25 07:00:00,27.9,91.0,44.0,2.6,3,Delhi,2026-08-25,7
2026-08-25 08:00:00,27.6,93.0,49.0,4.3,95,Delhi,2026-08-25,8
2026-08-25 09:00:00,28.3,83.0,55.0,5.0,95,Delhi,2026-08-25,9
2026-08-25 10:00:00,29.5,81.0,62.0,2.3,96,Delhi,2026-08-25,10
2026-08-25 11:00:00,30.6,77.0,67.0,2.3,95,Delhi,2026-08-25,11
2026-08-25 12:00:00,31.3,74.0,72.0,1.7,95,Delhi,2026-08-25,12
2026-08-25 13:00:00,31.3,74.0,76.0,3.0,95,Delhi,2026-08-25,13
2026-08-25 14:00:00,31.5,73.0,75.0,1.3,95,Delhi,2026-08-25,14
2026-08-25 15:00:00,31.6,72.0,65.0,1.9,3,Delhi,2026-08-25,15
2026-08-25 16:00:00,31.5,66.0,49.0,1.0,51,Delhi,2026-08-25,16
2026-08-25 17:00:00,31.2,68.0,35.0,0.8,3,Delhi,2026-08-25,17
2026-08-25 18:00:00,30.0,80.0,23.0,2.7,3,Delhi,2026-08-25,18
2026-08-25 19:00:00,29.6,83.0,12.0,0.9,3,Delhi,2026-08-25,19
2026-08-25 20:00:00,29.2,85.0,4.0,3.0,3,Delhi,2026-08-25,20
2026-08-25 21:00:00,28.7,88.0,1.0,3.6,3,Delhi,2026-08-25,21
2026-08-25 22:00:00,28.4,90.0,0.0,3.6,3,Delhi,2026-08-25,22
2026-08-25 23:00:00,28.0,92.0,0.0,3.6,3,Delhi,2026-08-25,23
2026-08-26 00:00:00,27.8,92.0,0.0,3.7,3,Delhi,2026-08-26,0
2026-08-26 01:00:00,27.7,92.0,0.0,4.0,3,Delhi,2026-08-26,1
2026-08-26 02:00:00,27.6,91.0,0.0,3.1,3,Delhi,2026-08-26,2
2026-08-26 03:00:00,27.3,93.0,1.0,2.7,3,Delhi,2026-08-26,3
2026-08-26 04:00:00,27.2,93.0,2.0,2.4,3,Delhi,2026-08-26,4
