time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-20 00:00:00,28.1,94.0,0.0,4.3,51,Delhi,2026-08-20,0
2026-08-20 01:00:00,27.7,94.0,0.0,6.7,51,Delhi,2026-08-20,1
2026-08-20 02:00:00,26.9,97.0,0.0,2.9,51,Delhi,2026-08-20,2
2026-08-20 03:00:00,27.0,97.0,0.0,5.7,51,Delhi,2026-08-20,3
2026-08-20 04:00:00,27.0,96.0,0.0,1.3,3,Delhi,2026-08-20,4
2026-08-20 05:00:00,27.0,95.0,0.0,2.0,3,Delhi,2026-08-20,5
2026-08-20 06:00:00,27.2,93.0,3.0,2.2,2,Delhi,2026-08-20,6
2026-08-20 07:00:00,28.0,90.0,7.0,1.5,1,Delhi,2026-08-20,7
2026-08-20 08:00:00,29.5,81.0,12.0,1.9,1,Delhi,2026-08-20,8
2026-08-20 09:00:00,30.9,72.0,19.0,2.5,1,Delhi,2026-08-20,9
2026-08-20 10:00:00,31.8,68.0,27.0,2.2,1,Delhi,2026-08-20,10
2026-08-20 11:00:00,32.5,66.0,35.0,1.8,51,Delhi,2026-08-20,11
2026-08-20 12:00:00,33.0,65.0,46.0,1.8,1,Delhi,2026-08-20,12
2026-08-20 13:00:00,33.2,64.0,57.0,1.7,51,Delhi,2026-08-20,13
2026-08-20 14:00:00,33.4,63.0,63.0,3.0,51,Delhi,2026-08-20,14
2026-08-20 15:00:00,33.4,63.0,61.0,3.6,1,Delhi,2026-08-20,15
2026-08-20 16:00:00,33.4,64.0,54.0,4.1,3,Delhi,2026-08-20,16
2026-08-20 17:00:00,30.7,79.0,47.0,4.6,95,Delhi,2026-08-20,17
2026-08-20 18:00:00,29.9,85.0,44.0,4.3,51,Delhi,2026-08-20,18
2026-08-20 19:00:00,29.6,89.0,42.0,3.0,3,Delhi,2026-08-20,19
2026-08-20 20:00:00,28.4,88.0,37.0,5.2,95,Delhi,2026-08-20,20
2026-08-20 21:00:00,28.0,94.0,26.0,4.4,53,Delhi,2026-08-20,21
2026-08-20 22:00:00,28.0,94.0,12.0,6.5,3,Delhi,2026-08-20,22
2026-08-20 23:00:00,27.9,95.0,4.0,3.5,3,Delhi,2026-08-20,23
2026-08-21 00:00:00,27.8,96.0,5.0,2.8,3,Delhi,2026-08-21,0
2026-08-21 01:00:00,27.5,96.0,11.0,4.4,51,Delhi,2026-08-21,1
2026-08-21 02:00:00,26.9,97.0,18.0,7.4,51,Delhi,2026-08-21,2
2026-08-21 03:00:00,26.3,98.0,26.0,6.7,53,Delhi,2026-08-21,3
2026-08-21 04:00:00,26.3,98.0,36.0,2.0,51,Delhi,2026-08-21,4
2026-08-21 05:00:00,26.3,99.0,45.0,0.2,51,Delhi,2026-08-21,5
2026-08-21 06:00:00,26.5,97.0,55.0,1.2,2,Delhi,2026-08-21,6
2026-08-21 07:00:00,27.1,93.0,65.0,3.0,2,Delhi,2026-08-21,7
2026-08-21 08:00:00,27.9,89.0,69.0,1.8,51,Delhi,2026-08-21,8
2026-08-21 09:00:00,29.5,82.0,61.0,1.4,1,Delhi,2026-08-21,9
2026-08-21 10:00:00,30.7,74.0,47.0,3.3,1,Delhi,2026-08-21,10
2026-08-21 11:00:00,31.7,71.0,37.0,4.4,2,Delhi,2026-08-21,11
2026-08-21 12:00:00,32.2,70.0,34.0,2.3,3,Delhi,2026-08-21,12
2026-08-21 13:00:00,32.7,69.0,34.0,2.0,51,Delhi,2026-08-21,13
2026-08-21 14:00:00,33.1,66.0,37.0,2.9,3,Delhi,2026-08-21,14
2026-08-21 15:00:00,33.1,67.0,47.0,4.3,51,Delhi,2026-08-21,15
2026-08-21 16:00:00,32.9,68.0,60.0,5.2,0,Delhi,2026-08-21,16
2026-08-21 17:00:00,31.2,74.0,67.0,8.0,95,Delhi,2026-08-21,17
2026-08-21 18:00:00,29.9,83.0,62.0,4.5,51,Delhi,2026-08-21,18
2026-08-21 19:00:00,29.6,86.0,51.0,0.6,1,Delhi,2026-08-21,19
2026-08-21 20:00:00,29.6,86.0,39.0,0.8,1,Delhi,2026-08-21,20
2026-08-21 21:00:00,29.4,88.0,27.0,1.9,1,Delhi,2026-08-21,21
2026-08-21 22:00:00,29.0,89.0,14.0,3.9,3,Delhi,2026-08-21,22
2026-08-21 23:00:00,28.7,91.0,8.0,3.3,2,Delhi,2026-08-21,23
2026-08-22 00:00:00,28.3,91.0,13.0,5.2,2,Delhi,2026-08-22,0
2026-08-22 01:00:00,28.0,90.0,26.0,4.2,51,Delhi,2026-08-22,1
2026-08-22 02:00:00,27.4,90.0,39.0,5.2,51,Delhi,2026-08-22,2
2026-08-22 03:00:00,26.2,96.0,53.0,6.1,96,Delhi,2026-08-22,3
2026-08-22 04:00:00,25.1,98.0,69.0,11.9,96,Delhi,2026-08-22,4
2026-08-22 05:00:00,25.0,97.0,78.0,13.9,80,Delhi,2026-08-22,5
2026-08-22 06:00:00,25.1,95.0,79.0,3.0,53,Delhi,2026-08-22,6
2026-08-22 07:00:00,25.6,95.0,74.0,7.6,80,Delhi,2026-08-22,7
2026-08-22 08:00:00,26.8,90.0,65.0,6.7,51,Delhi,2026-08-22,8
2026-08-22 09:00:00,28.8,79.0,50.0,7.0,1,Delhi,2026-08-22,9
2026-08-22 10:00:00,30.2,73.0,32.0,4.9,0,Delhi,2026-08-22,10
2026-08-22 11:00:00,31.3,69.0,20.0,2.6,0,Delhi,2026-08-22,11
2026-08-22 12:00:00,32.0,68.0,19.0,2.3,1,Delhi,2026-08-22,12
2026-08-22 13:00:00,32.3,67.0,24.0,1.4,1,Delhi,2026-08-22,13
2026-08-22 14:00:00,32.6,68.0,31.0,3.1,51,Delhi,2026-08-22,14
2026-08-22 15:00:00,32.6,68.0,39.0,3.3,51,Delhi,2026-08-22,15
2026-08-22 16:00:00,32.4,69.0,49.0,3.3,51,Delhi,2026-08-22,16
2026-08-22 17:00:00,31.5,73.0,55.0,4.5,51,Delhi,2026-08-22,17
2026-08-22 18:00:00,29.6,85.0,53.0,3.5,95,Delhi,2026-08-22,18
2026-08-22 19:00:00,29.0,90.0,47.0,3.8,51,Delhi,2026-08-22,19
2026-08-22 20:00:00,28.9,91.0,41.0,2.9,1,Delhi,2026-08-22,20
2026-08-22 21:00:00,28.7,92.0,36.0,5.5,1,Delhi,2026-08-22,21
2026-08-22 22:00:00,28.2,93.0,32.0,3.7,51,Delhi,2026-08-22,22
2026-08-22 23:00:00,27.3,91.0,31.0,9.4,95,Delhi,2026-08-22,23
2026-08-23 00:00:00,26.3,90.0,34.0,5.5,51,Delhi,2026-08-23,0
2026-08-23 01:00:00,26.1,92.0,39.0,4.1,3,Delhi,2026-08-23,1
2026-08-23 02:00:00,26.0,93.0,45.0,4.0,3,Delhi,2026-08-23,2
2026-08-23 03:00:00,26.0,93.0,52.0,2.1,51,Delhi,2026-08-23,3
2026-08-23 04:00:00,26.0,94.0,59.0,3.2,51,Delhi,2026-08-23,4
2026-08-23 05:00:00,25.4,96.0,63.0,4.8,55,Delhi,2026-08-23,5
2026-08-23 06:00:00,25.4,97.0,61.0,5.4,51,Delhi,2026-08-23,6
2026-08-23 07:00:00,26.1,94.0,55.0,4.0,51,Delhi,2026-08-23,7
2026-08-23 08:00:00,27.4,86.0,49.0,2.7,2,Delhi,2026-08-23,8
2026-08-23 09:00:00,28.5,83.0,45.0,1.8,51,Delhi,2026-08-23,9
2026-08-23 10:00:00,30.0,74.0,41.0,3.6,51,Delhi,2026-08-23,10
2026-08-23 11:00:00,31.0,70.0,39.0,1.3,3,Delhi,2026-08-23,11
2026-08-23 12:00:00,31.0,70.0,39.0,2.8,3,Delhi,2026-08-23,12
2026-08-23 13:00:00,31.2,71.0,41.0,2.4,51,Delhi,2026-08-23,13
2026-08-23 14:00:00,31.6,71.0,43.0,2.0,51,Delhi,2026-08-23,14
2026-08-23 15:00:00,32.0,71.0,45.0,1.3,51,Delhi,2026-08-23,15
2026-08-23 16:00:00,31.8,71.0,48.0,2.3,51,Delhi,2026-08-23,16
2026-08-23 17:00:00,29.4,85.0,47.0,4.2,96,Delhi,2026-08-23,17
2026-08-23 18:00:00,28.8,90.0,40.0,3.2,51,Delhi,2026-08-23,18
2026-08-23 19:00:00,28.2,95.0,29.0,1.7,51,Delhi,2026-08-23,19
2026-08-23 20:00:00,27.7,99.0,20.0,1.3,51,Delhi,2026-08-23,20
2026-08-23 21:00:00,27.5,99.0,14.0,1.9,2,Delhi,2026-08-23,21
2026-08-23 22:00:00,27.5,98.0,9.0,2.3,3,Delhi,2026-08-23,22
2026-08-23 23:00:00,27.5,97.0,8.0,2.7,3,Delhi,2026-08-23,23
2026-08-24 00:00:00,27.5,96.0,12.0,2.8,3,Delhi,2026-08-24,0
2026-08-24 01:00:00,27.4,96.0,20.0,3.2,1,Delhi,2026-08-24,1
2026-08-24 02:00:00,27.3,96.0,27.0,4.0,1,Delhi,2026-08-24,2
2026-08-24 03:00:00,26.8,97.0,34.0,4.0,51,Delhi,2026-08-24,3
2026-08-24 04:00:00,26.3,98.0,41.0,3.8,51,Delhi,2026-08-24,4
2026-08-24 05:00:00,26.1,98.0,43.0,3.6,51,Delhi,2026-08-24,5
2026-08-24 06:00:00,26.6,95.0,38.0,3.4,1,Delhi,2026-08-24,6
2026-08-24 07:00:00,27.4,90.0,29.0,3.3,0,Delhi,2026-08-24,7
2026-08-24 08:00:00,28.4,85.0,22.0,3.0,0,Delhi,2026-08-24,8
2026-08-24 09:00:00,29.6,79.0,20.0,3.1,0,Delhi,2026-08-24,9
2026-08-24 10:00:00,30.9,73.0,21.0,4.0,1,Delhi,2026-08-24,10
2026-08-24 11:00:00,31.9,70.0,25.0,4.5,1,Delhi,2026-08-24,11
2026-08-24 12:00:00,32.7,68.0,34.0,4.0,51,Delhi,2026-08-24,12
2026-08-24 13:00:00,33.2,67.0,45.0,3.3,51,Delhi,2026-08-24,13
2026-08-24 14:00:00,33.2,68.0,53.0,3.1,51,Delhi,2026-08-24,14
2026-08-24 15:00:00,32.6,71.0,54.0,4.2,51,Delhi,2026-08-24,15
2026-08-24 16:00:00,31.5,76.0,50.0,5.4,51,Delhi,2026-08-24,16
2026-08-24 17:00:00,30.5,81.0,45.0,5.5,51,Delhi,2026-08-24,17
2026-08-24 18:00:00,29.8,84.0,38.0,3.1,2,Delhi,2026-08-24,18
2026-08-24 19:00:00,29.2,87.0,30.0,0.9,1,Delhi,2026-08-24,19
2026-08-24 20:00:00,28.7,89.0,22.0,3.6,1,Delhi,2026-08-24,20
2026-08-24 21:00:00,28.4,91.0,15.0,4.8,1,Delhi,2026-08-24,21
2026-08-24 22:00:00,28.2,92.0,8.0,5.2,2,Delhi,2026-08-24,22
2026-08-24 23:00:00,28.0,93.0,6.0,5.2,2,Delhi,2026-08-24,23
2026-08-25 00:00:00,27.9,93.0,10.0,4.5,1,Delhi,2026-08-25,0
2026-08-25 01:00:00,27.8,93.0,18.0,3.8,1,Delhi,2026-08-25,1
2026-08-25 02:00:00,27.5,94.0,25.0,3.6,1,Delhi,2026-08-25,2
2026-08-25 03:00:00,27.0,95.0,30.0,2.2,53,Delhi,2026-08-25,3
2026-08-25 04:00:00,26.4,96.0,33.0,0.6,53,Delhi,2026-08-25,4
2026-08-25 05:00:00,26.1,96.0,35.0,1.1,53,Delhi,2026-08-25,5
2026-08-25 06:00:00,26.5,95.0,34.0,0.3,0,Delhi,2026-08-25,6
2026-08-25 07:00:00,27.3,91.0,31.0,2.5,0,Delhi,2026-08-25,7
2026-08-25 08:00:00,28.3,88.0,29.0,4.0,0,Delhi,2026-08-25,8
2026-08-25 09:00:00,29.5,82.0,29.0,3.6,0,Delhi,2026-08-25,9
2026-08-25 10:00:00,30.8,77.0,30.0,2.5,0,Delhi,2026-08-25,10
2026-08-25 11:00:00,31.9,73.0,31.0,2.3,0,Delhi,2026-08-25,11
2026-08-25 12:00:00,32.6,71.0,33.0,2.6,1,Delhi,2026-08-25,12
2026-08-25 13:00:00,33.0,70.0,35.0,3.3,1,Delhi,2026-08-25,13
2026-08-25 14:00:00,33.3,69.0,37.0,3.9,1,Delhi,2026-08-25,14
2026-08-25 15:00:00,33.3,68.0,37.0,4.9,1,Delhi,2026-08-25,15
2026-08-25 16:00:00,33.1,67.0,36.0,5.9,1,Delhi,2026-08-25,16
2026-08-25 17:00:00,32.8,68.0,35.0,6.0,1,Delhi,2026-08-25,17
2026-08-25 18:00:00,32.4,71.0,33.0,4.5,1,Delhi,2026-08-25,18
2026-08-25 19:00:00,31.9,75.0,30.0,1.8,2,Delhi,2026-08-25,19
2026-08-25 20:00:00,31.3,79.0,27.0,0.4,2,Delhi,2026-08-25,20
2026-08-25 21:00:00,30.5,83.0,24.0,1.9,2,Delhi,2026-08-25,21
2026-08-25 22:00:00,29.6,86.0,21.0,2.8,1,Delhi,2026-08-25,22
2026-08-25 23:00:00,28.9,88.0,20.0,3.6,1,Delhi,2026-08-25,23
2026-08-26 00:00:00,27.7,93.0,21.0,7.5,2,Delhi,2026-08-26,0
2026-08-26 01:00:00,27.2,95.0,23.0,6.5,2,Delhi,2026-08-26,1
2026-08-26 02:00:00,26.8,96.0,26.0,5.3,1,Delhi,2026-08-26,2
2026-08-26 03:00:00,26.5,97.0,29.0,4.1,1,Delhi,2026-08-26,3
2026-08-26 04:00:00,26.4,96.0,32.0,2.9,1,Delhi,2026-08-26,4
2026-08-26 05:00:00,26.5,95.0,33.0,2.1,1,Delhi,2026-08-26,5
2026-08-26 06:00:00,26.9,93.0,32.0,1.9,51,Delhi,2026-08-26,6
2026-08-26 07:00:00,27.6,89.0,30.0,2.9,51,Delhi,2026-08-26,7
2026-08-26 08:00:00,28.4,84.0,28.0,4.5,51,Delhi,2026-08-26,8
2026-08-26 09:00:00,29.3,80.0,26.0,6.2,51,Delhi,2026-08-26,9
2026-08-26 10:00:00,30.2,77.0,24.0,7.3,51,Delhi,2026-08-26,10
2026-08-26 11:00:00,30.8,74.0,24.0,7.8,51,Delhi,2026-08-26,11
2026-08-26 12:00:00,31.3,72.0,26.0,7.2,51,Delhi,2026-08-26,12
2026-08-26 13:00:00,31.8,71.0,30.0,5.7,51,Delhi,2026-08-26,13
2026-08-26 14:00:00,32.2,70.0,33.0,3.9,51,Delhi,2026-08-26,14
2026-08-26 15:00:00,32.4,70.0,36.0,2.3,51,Delhi,2026-08-26,15
2026-08-26 16:00:00,32.6,70.0,39.0,1.6,51,Delhi,2026-08-26,16
2026-08-26 17:00:00,32.5,71.0,39.0,1.9,51,Delhi,2026-08-26,17
2026-08-26 18:00:00,32.2,73.0,36.0,1.6,3,Delhi,2026-08-26,18
2026-08-26 19:00:00,31.7,76.0,30.0,1.2,3,Delhi,2026-08-26,19
2026-08-26 20:00:00,31.1,79.0,25.0,1.4,3,Delhi,2026-08-26,20
2026-08-26 21:00:00,30.3,83.0,20.0,2.4,3,Delhi,2026-08-26,21
2026-08-26 22:00:00,29.6,87.0,14.0,3.6,3,Delhi,2026-08-26,22
2026-08-26 23:00:00,28.9,90.0,10.0,4.3,3,Delhi,2026-08-26,23
