time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-02 00:00:00,26.7,90.0,36.0,11.0,51,Delhi,2026-08-02,0
2026-08-02 01:00:00,26.7,92.0,51.0,8.8,51,Delhi,2026-08-02,1
2026-08-02 02:00:00,26.9,93.0,59.0,7.9,51,Delhi,2026-08-02,2
2026-08-02 03:00:00,26.7,94.0,52.0,6.5,51,Delhi,2026-08-02,3
2026-08-02 04:00:00,26.8,94.0,38.0,6.9,3,Delhi,2026-08-02,4
2026-08-02 05:00:00,26.9,94.0,27.0,7.7,2,Delhi,2026-08-02,5
2026-08-02 06:00:00,27.1,94.0,24.0,8.5,2,Delhi,2026-08-02,6
2026-08-02 07:00:00,27.9,91.0,25.0,7.6,3,Delhi,2026-08-02,7
2026-08-02 08:00:00,29.0,85.0,29.0,10.3,3,Delhi,2026-08-02,8
2026-08-02 09:00:00,29.7,81.0,37.0,10.2,95,Delhi,2026-08-02,9
2026-08-02 10:00:00,30.9,77.0,48.0,9.3,51,Delhi,2026-08-02,10
2026-08-02 11:00:00,32.0,73.0,57.0,10.3,95,Delhi,2026-08-02,11
2026-08-02 12:00:00,32.7,68.0,62.0,8.9,96,Delhi,2026-08-02,12
2026-08-02 13:00:00,32.5,69.0,64.0,8.4,95,Delhi,2026-08-02,13
2026-08-02 14:00:00,32.6,71.0,67.0,8.7,95,Delhi,2026-08-02,14
2026-08-02 15:00:00,32.2,73.0,73.0,8.6,96,Delhi,2026-08-02,15
2026-08-02 16:00:00,32.1,66.0,78.0,8.4,95,Delhi,2026-08-02,16
2026-08-02 17:00:00,31.2,75.0,80.0,9.4,95,Delhi,2026-08-02,17
2026-08-02 18:00:00,29.5,85.0,75.0,7.7,95,Delhi,2026-08-02,18
2026-08-02 19:00:00,29.0,87.0,65.0,5.6,51,Delhi,2026-08-02,19
2026-08-02 20:00:00,28.8,89.0,55.0,7.1,2,Delhi,2026-08-02,20
2026-08-02 21:00:00,28.5,89.0,43.0,6.1,1,Delhi,2026-08-02,21
2026-08-02 22:00:00,27.4,93.0,30.0,11.7,95,Delhi,2026-08-02,22
2026-08-02 23:00:00,27.0,95.0,20.0,8.7,51,Delhi,2026-08-02,23
2026-08-03 00:00:00,27.0,96.0,16.0,7.0,51,Delhi,2026-08-03,0
2026-08-03 01:00:00,26.9,96.0,14.0,6.9,3,Delhi,2026-08-03,1
2026-08-03 02:00:00,26.8,97.0,14.0,7.0,3,Delhi,2026-08-03,2
2026-08-03 03:00:00,26.7,96.0,13.0,6.1,3,Delhi,2026-08-03,3
2026-08-03 04:00:00,26.6,96.0,12.0,5.5,3,Delhi,2026-08-03,4
2026-08-03 05:00:00,26.4,97.0,14.0,7.3,1,Delhi,2026-08-03,5
2026-08-03 06:00:00,26.5,96.0,19.0,4.8,1,Delhi,2026-08-03,6
2026-08-03 07:00:00,27.5,90.0,26.0,7.4,2,Delhi,2026-08-03,7
2026-08-03 08:00:00,28.6,84.0,35.0,6.0,2,Delhi,2026-08-03,8
2026-08-03 09:00:00,29.2,82.0,46.0,6.3,51,Delhi,2026-08-03,9
2026-08-03 10:00:00,30.5,78.0,59.0,6.6,95,Delhi,2026-08-03,10
2026-08-03 11:00:00,31.1,74.0,69.0,9.5,95,Delhi,2026-08-03,11
2026-08-03 12:00:00,30.3,79.0,74.0,5.5,95,Delhi,2026-08-03,12
2026-08-03 13:00:00,30.6,80.0,77.0,6.9,95,Delhi,2026-08-03,13
2026-08-03 14:00:00,29.9,81.0,80.0,5.3,96,Delhi,2026-08-03,14
2026-08-03 15:00:00,28.5,84.0,84.0,7.9,96,Delhi,2026-08-03,15
2026-08-03 16:00:00,29.0,84.0,87.0,5.7,95,Delhi,2026-08-03,16
2026-08-03 17:00:00,29.2,84.0,88.0,7.3,51,Delhi,2026-08-03,17
2026-08-03 18:00:00,28.9,85.0,85.0,5.5,3,Delhi,2026-08-03,18
2026-08-03 19:00:00,28.4,88.0,79.0,2.8,3,Delhi,2026-08-03,19
2026-08-03 20:00:00,27.2,93.0,73.0,2.6,96,Delhi,2026-08-03,20
2026-08-03 21:00:00,26.8,95.0,65.0,4.4,55,Delhi,2026-08-03,21
2026-08-03 22:00:00,26.4,96.0,56.0,9.5,53,Delhi,2026-08-03,22
2026-08-03 23:00:00,26.0,97.0,51.0,5.6,51,Delhi,2026-08-03,23
2026-08-04 00:00:00,25.7,99.0,53.0,6.3,51,Delhi,2026-08-04,0
2026-08-04 01:00:00,25.7,98.0,58.0,5.6,51,Delhi,2026-08-04,1
2026-08-04 02:00:00,25.4,99.0,63.0,3.7,95,Delhi,2026-08-04,2
2026-08-04 03:00:00,25.2,98.0,66.0,9.9,95,Delhi,2026-08-04,3
2026-08-04 04:00:00,25.4,98.0,70.0,5.7,80,Delhi,2026-08-04,4
2026-08-04 05:00:00,25.3,98.0,71.0,6.5,55,Delhi,2026-08-04,5
