time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-11 00:00:00,27.7,94.0,59.0,9.7,51,Delhi,2026-08-11,0
2026-08-11 01:00:00,27.3,96.0,58.0,8.8,51,Delhi,2026-08-11,1
2026-08-11 02:00:00,27.2,96.0,59.0,9.2,3,Delhi,2026-08-11,2
2026-08-11 03:00:00,27.1,96.0,62.0,8.3,51,Delhi,2026-08-11,3
2026-08-11 04:00:00,27.0,91.0,66.0,8.1,95,Delhi,2026-08-11,4
2026-08-11 05:00:00,26.4,96.0,69.0,8.9,51,Delhi,2026-08-11,5
2026-08-11 06:00:00,26.3,96.0,68.0,6.0,51,Delhi,2026-08-11,6
2026-08-11 07:00:00,26.5,92.0,65.0,6.8,51,Delhi,2026-08-11,7
2026-08-11 08:00:00,26.7,93.0,65.0,6.4,55,Delhi,2026-08-11,8
2026-08-11 09:00:00,27.7,90.0,73.0,5.4,95,Delhi,2026-08-11,9
2026-08-11 10:00:00,28.9,84.0,84.0,6.2,95,Delhi,2026-08-11,10
2026-08-11 11:00:00,30.4,79.0,92.0,3.9,95,Delhi,2026-08-11,11
2026-08-11 12:00:00,31.1,75.0,95.0,4.1,96,Delhi,2026-08-11,12
2026-08-11 13:00:00,31.2,75.0,96.0,4.0,95,Delhi,2026-08-11,13
2026-08-11 14:00:00,31.0,77.0,96.0,5.1,96,Delhi,2026-08-11,14
2026-08-11 15:00:00,28.1,90.0,100.0,6.1,96,Delhi,2026-08-11,15
2026-08-11 16:00:00,28.3,90.0,100.0,3.5,53,Delhi,2026-08-11,16
2026-08-11 17:00:00,28.8,87.0,100.0,3.4,53,Delhi,2026-08-11,17
2026-08-11 18:00:00,28.5,90.0,81.0,3.9,51,Delhi,2026-08-11,18
2026-08-11 19:00:00,28.1,93.0,54.0,2.0,2,Delhi,2026-08-11,19
2026-08-11 20:00:00,28.0,94.0,31.0,1.3,2,Delhi,2026-08-11,20
2026-08-11 21:00:00,27.8,95.0,17.0,3.4,1,Delhi,2026-08-11,21
2026-08-11 22:00:00,27.5,95.0,7.0,3.1,2,Delhi,2026-08-11,22
2026-08-11 23:00:00,27.3,96.0,0.0,0.6,2,Delhi,2026-08-11,23
2026-08-12 00:00:00,27.2,96.0,0.0,4.1,1,Delhi,2026-08-12,0
2026-08-12 01:00:00,26.9,96.0,0.0,2.2,1,Delhi,2026-08-12,1
2026-08-12 02:00:00,26.8,96.0,0.0,1.9,1,Delhi,2026-08-12,2
2026-08-12 03:00:00,26.6,97.0,2.0,2.4,1,Delhi,2026-08-12,3
2026-08-12 04:00:00,26.5,97.0,5.0,1.3,0,Delhi,2026-08-12,4
2026-08-12 05:00:00,26.4,97.0,8.0,1.8,3,Delhi,2026-08-12,5
2026-08-12 06:00:00,26.7,96.0,8.0,4.9,1,Delhi,2026-08-12,6
2026-08-12 07:00:00,27.4,93.0,8.0,4.1,2,Delhi,2026-08-12,7
2026-08-12 08:00:00,28.9,85.0,10.0,2.7,2,Delhi,2026-08-12,8
2026-08-12 09:00:00,30.3,78.0,15.0,2.0,1,Delhi,2026-08-12,9
2026-08-12 10:00:00,31.3,74.0,22.0,1.4,51,Delhi,2026-08-12,10
2026-08-12 11:00:00,32.2,72.0,31.0,1.0,51,Delhi,2026-08-12,11
2026-08-12 12:00:00,32.9,67.0,44.0,2.3,51,Delhi,2026-08-12,12
2026-08-12 13:00:00,33.4,64.0,58.0,3.5,51,Delhi,2026-08-12,13
2026-08-12 14:00:00,33.8,62.0,65.0,4.0,51,Delhi,2026-08-12,14
2026-08-12 15:00:00,33.9,61.0,59.0,4.8,51,Delhi,2026-08-12,15
2026-08-12 16:00:00,33.7,61.0,47.0,4.1,0,Delhi,2026-08-12,16
2026-08-12 17:00:00,33.3,62.0,35.0,4.8,51,Delhi,2026-08-12,17
2026-08-12 18:00:00,32.2,73.0,26.0,3.1,0,Delhi,2026-08-12,18
2026-08-12 19:00:00,31.7,76.0,18.0,1.7,0,Delhi,2026-08-12,19
2026-08-12 20:00:00,30.9,80.0,12.0,2.9,0,Delhi,2026-08-12,20
2026-08-12 21:00:00,30.4,82.0,8.0,3.8,0,Delhi,2026-08-12,21
2026-08-12 22:00:00,29.9,83.0,5.0,3.8,1,Delhi,2026-08-12,22
2026-08-12 23:00:00,29.6,85.0,4.0,4.0,0,Delhi,2026-08-12,23
2026-08-13 00:00:00,29.1,87.0,5.0,3.8,0,Delhi,2026-08-13,0
2026-08-13 01:00:00,28.6,90.0,8.0,2.9,0,Delhi,2026-08-13,1
2026-08-13 02:00:00,28.2,92.0,12.0,3.6,0,Delhi,2026-08-13,2
2026-08-13 03:00:00,27.7,92.0,17.0,5.1,51,Delhi,2026-08-13,3
2026-08-13 04:00:00,27.1,93.0,23.0,4.0,51,Delhi,2026-08-13,4
2026-08-13 05:00:00,26.7,95.0,27.0,3.2,51,Delhi,2026-08-13,5
2026-08-13 06:00:00,26.8,96.0,28.0,2.9,0,Delhi,2026-08-13,6
2026-08-13 07:00:00,28.0,92.0,27.0,1.7,0,Delhi,2026-08-13,7
2026-08-13 08:00:00,29.7,83.0,29.0,2.3,0,Delhi,2026-08-13,8
2026-08-13 09:00:00,31.0,77.0,34.0,3.0,0,Delhi,2026-08-13,9
2026-08-13 10:00:00,30.8,77.0,41.0,6.4,51,Delhi,2026-08-13,10
2026-08-13 11:00:00,28.6,86.0,49.0,1.6,95,Delhi,2026-08-13,11
2026-08-13 12:00:00,29.8,80.0,58.0,2.5,53,Delhi,2026-08-13,12
2026-08-13 13:00:00,30.7,79.0,67.0,1.6,51,Delhi,2026-08-13,13
2026-08-13 14:00:00,31.6,75.0,73.0,0.5,51,Delhi,2026-08-13,14
2026-08-13 15:00:00,32.0,72.0,74.0,1.6,3,Delhi,2026-08-13,15
2026-08-13 16:00:00,32.2,71.0,72.0,1.2,2,Delhi,2026-08-13,16
2026-08-13 17:00:00,32.0,71.0,67.0,0.8,3,Delhi,2026-08-13,17
2026-08-13 18:00:00,31.7,74.0,58.0,1.7,3,Delhi,2026-08-13,18
