time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-31 00:00:00,29.4,75.0,5.0,6.7,2,Delhi,2026-08-31,0
2026-08-31 01:00:00,29.1,73.0,2.0,7.9,2,Delhi,2026-08-31,1
2026-08-31 02:00:00,28.8,70.0,0.0,8.6,1,Delhi,2026-08-31,2
2026-08-31 03:00:00,28.3,70.0,0.0,9.0,0,Delhi,2026-08-31,3
2026-08-31 04:00:00,27.8,71.0,0.0,9.0,1,Delhi,2026-08-31,4
2026-08-31 05:00:00,27.5,72.0,0.0,9.4,2,Delhi,2026-08-31,5
2026-08-31 06:00:00,27.4,72.0,0.0,9.9,2,Delhi,2026-08-31,6
2026-08-31 07:00:00,28.1,69.0,0.0,10.1,2,Delhi,2026-08-31,7
2026-08-31 08:00:00,29.5,64.0,0.0,11.2,2,Delhi,2026-08-31,8
2026-08-31 09:00:00,30.7,60.0,0.0,10.9,3,Delhi,2026-08-31,9
2026-08-31 10:00:00,31.8,57.0,0.0,9.6,3,Delhi,2026-08-31,10
2026-08-31 11:00:00,32.8,54.0,0.0,8.3,3,Delhi,2026-08-31,11
2026-08-31 12:00:00,33.7,51.0,6.0,6.2,3,Delhi,2026-08-31,12
2026-08-31 13:00:00,34.2,49.0,15.0,5.0,3,Delhi,2026-08-31,13
2026-08-31 14:00:00,34.7,47.0,22.0,6.3,3,Delhi,2026-08-31,14
2026-08-31 15:00:00,34.2,48.0,28.0,7.4,51,Delhi,2026-08-31,15
2026-08-31 16:00:00,34.1,48.0,34.0,8.3,51,Delhi,2026-08-31,16
2026-08-31 17:00:00,33.7,49.0,35.0,8.2,3,Delhi,2026-08-31,17
2026-08-31 18:00:00,32.8,54.0,30.0,7.3,3,Delhi,2026-08-31,18
2026-08-31 19:00:00,31.9,60.0,20.0,4.0,3,Delhi,2026-08-31,19
2026-08-31 20:00:00,31.3,67.0,12.0,2.4,3,Delhi,2026-08-31,20
2026-08-31 21:00:00,30.9,73.0,7.0,1.3,3,Delhi,2026-08-31,21
2026-08-31 22:00:00,30.3,76.0,3.0,1.9,3,Delhi,2026-08-31,22
2026-08-31 23:00:00,30.0,75.0,0.0,3.6,3,Delhi,2026-08-31,23
2026-09-01 00:00:00,29.5,75.0,0.0,5.0,3,Delhi,2026-09-01,0
2026-09-01 01:00:00,28.9,76.0,0.0,3.7,3,Delhi,2026-09-01,1
2026-09-01 02:00:00,28.8,72.0,0.0,6.9,3,Delhi,2026-09-01,2
2026-09-01 03:00:00,28.4,69.0,0.0,7.1,2,Delhi,2026-09-01,3
2026-09-01 04:00:00,28.0,69.0,1.0,6.4,2,Delhi,2026-09-01,4
2026-09-01 05:00:00,27.8,69.0,2.0,7.0,3,Delhi,2026-09-01,5
2026-09-01 06:00:00,27.5,71.0,4.0,6.7,3,Delhi,2026-09-01,6
2026-09-01 07:00:00,28.3,68.0,6.0,7.1,1,Delhi,2026-09-01,7
2026-09-01 08:00:00,29.8,62.0,8.0,6.7,0,Delhi,2026-09-01,8
2026-09-01 09:00:00,31.2,57.0,9.0,7.1,0,Delhi,2026-09-01,9
2026-09-01 10:00:00,32.6,53.0,9.0,6.8,0,Delhi,2026-09-01,10
2026-09-01 11:00:00,33.9,49.0,16.0,6.0,1,Delhi,2026-09-01,11
2026-09-01 12:00:00,34.7,46.0,34.0,5.5,51,Delhi,2026-09-01,12
2026-09-01 13:00:00,35.1,45.0,57.0,7.1,51,Delhi,2026-09-01,13
2026-09-01 14:00:00,35.4,45.0,75.0,7.0,0,Delhi,2026-09-01,14
2026-09-01 15:00:00,34.7,46.0,85.0,6.3,51,Delhi,2026-09-01,15
2026-09-01 16:00:00,34.1,48.0,89.0,5.2,51,Delhi,2026-09-01,16
2026-09-01 17:00:00,33.3,52.0,86.0,2.6,51,Delhi,2026-09-01,17
2026-09-01 18:00:00,31.3,61.0,71.0,8.7,51,Delhi,2026-09-01,18
2026-09-01 19:00:00,29.2,77.0,48.0,7.4,3,Delhi,2026-09-01,19
2026-09-01 20:00:00,28.3,81.0,29.0,7.6,3,Delhi,2026-09-01,20
2026-09-01 21:00:00,28.1,80.0,18.0,5.1,3,Delhi,2026-09-01,21
2026-09-01 22:00:00,28.0,82.0,12.0,4.0,3,Delhi,2026-09-01,22
2026-09-01 23:00:00,27.8,84.0,8.0,4.6,3,Delhi,2026-09-01,23
2026-09-02 00:00:00,27.4,87.0,6.0,4.3,3,Delhi,2026-09-02,0
2026-09-02 01:00:00,27.1,89.0,8.0,3.8,3,Delhi,2026-09-02,1
2026-09-02 02:00:00,26.9,91.0,12.0,4.6,3,Delhi,2026-09-02,2
2026-09-02 03:00:00,26.7,93.0,21.0,5.9,3,Delhi,2026-09-02,3
2026-09-02 04:00:00,26.1,95.0,34.0,4.3,51,Delhi,2026-09-02,4
2026-09-02 05:00:00,25.8,94.0,45.0,3.4,51,Delhi,2026-09-02,5
2026-09-02 06:00:00,25.8,93.0,52.0,2.2,3,Delhi,2026-09-02,6
2026-09-02 07:00:00,26.5,90.0,56.0,3.6,51,Delhi,2026-09-02,7
2026-09-02 08:00:00,26.5,89.0,61.0,4.0,95,Delhi,2026-09-02,8
2026-09-02 09:00:00,27.4,88.0,67.0,2.7,95,Delhi,2026-09-02,9
2026-09-02 10:00:00,28.6,82.0,73.0,0.4,51,Delhi,2026-09-02,10
2026-09-02 11:00:00,28.6,80.0,78.0,6.3,51,Delhi,2026-09-02,11
2026-09-02 12:00:00,28.5,81.0,83.0,9.5,96,Delhi,2026-09-02,12
2026-09-02 13:00:00,29.3,76.0,87.0,5.6,80,Delhi,2026-09-02,13
2026-09-02 14:00:00,29.5,77.0,90.0,5.3,55,Delhi,2026-09-02,14
2026-09-02 15:00:00,29.3,77.0,91.0,6.4,53,Delhi,2026-09-02,15
2026-09-02 16:00:00,28.8,79.0,91.0,5.2,55,Delhi,2026-09-02,16
2026-09-02 17:00:00,27.9,85.0,86.0,3.5,55,Delhi,2026-09-02,17
2026-09-02 18:00:00,27.8,87.0,73.0,3.4,51,Delhi,2026-09-02,18
2026-09-02 19:00:00,27.4,90.0,56.0,4.2,3,Delhi,2026-09-02,19
2026-09-02 20:00:00,27.3,91.0,41.0,3.7,3,Delhi,2026-09-02,20
2026-09-02 21:00:00,27.0,92.0,29.0,4.7,3,Delhi,2026-09-02,21
2026-09-02 22:00:00,26.6,93.0,19.0,4.8,3,Delhi,2026-09-02,22
2026-09-02 23:00:00,26.4,94.0,12.0,1.9,3,Delhi,2026-09-02,23
2026-09-03 00:00:00,26.2,94.0,7.0,2.6,3,Delhi,2026-09-03,0
