time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-06 00:00:00,27.8,98.0,67.0,3.1,95,Delhi,2026-08-06,0
2026-08-06 01:00:00,27.3,90.0,86.0,3.5,96,Delhi,2026-08-06,1
2026-08-06 02:00:00,27.0,96.0,96.0,2.2,53,Delhi,2026-08-06,2
2026-08-06 03:00:00,27.0,97.0,88.0,4.5,3,Delhi,2026-08-06,3
2026-08-06 04:00:00,26.9,96.0,72.0,7.8,3,Delhi,2026-08-06,4
2026-08-06 05:00:00,26.7,94.0,59.0,7.1,3,Delhi,2026-08-06,5
2026-08-06 06:00:00,26.9,93.0,56.0,2.8,3,Delhi,2026-08-06,6
2026-08-06 07:00:00,27.4,89.0,56.0,2.4,3,Delhi,2026-08-06,7
2026-08-06 08:00:00,28.1,86.0,57.0,3.9,3,Delhi,2026-08-06,8
2026-08-06 09:00:00,28.9,83.0,57.0,3.1,3,Delhi,2026-08-06,9
2026-08-06 10:00:00,28.8,80.0,58.0,7.0,3,Delhi,2026-08-06,10
2026-08-06 11:00:00,28.6,79.0,59.0,7.1,51,Delhi,2026-08-06,11
2026-08-06 12:00:00,28.6,79.0,60.0,2.9,3,Delhi,2026-08-06,12
2026-08-06 13:00:00,28.8,82.0,61.0,6.1,51,Delhi,2026-08-06,13
2026-08-06 14:00:00,28.7,84.0,63.0,5.8,53,Delhi,2026-08-06,14
2026-08-06 15:00:00,28.8,85.0,67.0,5.0,51,Delhi,2026-08-06,15
2026-08-06 16:00:00,28.9,85.0,71.0,5.4,3,Delhi,2026-08-06,16
2026-08-06 17:00:00,29.0,83.0,71.0,5.7,3,Delhi,2026-08-06,17
2026-08-06 18:00:00,28.4,86.0,62.0,5.4,51,Delhi,2026-08-06,18
2026-08-06 19:00:00,27.7,89.0,47.0,4.9,3,Delhi,2026-08-06,19
2026-08-06 20:00:00,27.5,91.0,37.0,4.5,3,Delhi,2026-08-06,20
2026-08-06 21:00:00,27.2,92.0,34.0,3.6,3,Delhi,2026-08-06,21
2026-08-06 22:00:00,26.9,93.0,34.0,3.7,3,Delhi,2026-08-06,22
2026-08-06 23:00:00,26.9,94.0,37.0,5.4,3,Delhi,2026-08-06,23
2026-08-07 00:00:00,26.7,95.0,42.0,4.3,3,Delhi,2026-08-07,0
2026-08-07 01:00:00,26.5,93.0,48.0,5.6,51,Delhi,2026-08-07,1
2026-08-07 02:00:00,26.3,95.0,55.0,6.4,51,Delhi,2026-08-07,2
2026-08-07 03:00:00,26.2,93.0,62.0,6.7,53,Delhi,2026-08-07,3
2026-08-07 04:00:00,25.8,95.0,70.0,5.6,95,Delhi,2026-08-07,4
2026-08-07 05:00:00,25.7,96.0,76.0,4.9,53,Delhi,2026-08-07,5
2026-08-07 06:00:00,25.6,95.0,78.0,6.1,53,Delhi,2026-08-07,6
2026-08-07 07:00:00,25.9,95.0,77.0,6.1,51,Delhi,2026-08-07,7
2026-08-07 08:00:00,26.5,93.0,78.0,4.4,53,Delhi,2026-08-07,8
2026-08-07 09:00:00,26.6,92.0,81.0,5.1,53,Delhi,2026-08-07,9
2026-08-07 10:00:00,27.2,88.0,84.0,7.1,51,Delhi,2026-08-07,10
2026-08-07 11:00:00,27.1,87.0,88.0,7.2,55,Delhi,2026-08-07,11
2026-08-07 12:00:00,28.5,85.0,92.0,4.1,95,Delhi,2026-08-07,12
2026-08-07 13:00:00,29.2,82.0,96.0,4.2,95,Delhi,2026-08-07,13
2026-08-07 14:00:00,28.3,86.0,98.0,2.2,96,Delhi,2026-08-07,14
2026-08-07 15:00:00,26.7,95.0,99.0,4.7,96,Delhi,2026-08-07,15
2026-08-07 16:00:00,26.6,96.0,98.0,3.4,96,Delhi,2026-08-07,16
2026-08-07 17:00:00,27.0,95.0,94.0,4.4,95,Delhi,2026-08-07,17
2026-08-07 18:00:00,26.6,96.0,84.0,6.7,95,Delhi,2026-08-07,18
2026-08-07 19:00:00,26.4,96.0,71.0,6.0,3,Delhi,2026-08-07,19
2026-08-07 20:00:00,26.2,95.0,59.0,7.5,51,Delhi,2026-08-07,20
2026-08-07 21:00:00,26.0,96.0,49.0,7.4,51,Delhi,2026-08-07,21
2026-08-07 22:00:00,26.0,96.0,39.0,6.0,51,Delhi,2026-08-07,22
2026-08-07 23:00:00,25.9,96.0,35.0,5.6,3,Delhi,2026-08-07,23
2026-08-08 00:00:00,25.8,96.0,38.0,5.3,3,Delhi,2026-08-08,0
2026-08-08 01:00:00,25.7,97.0,47.0,5.8,3,Delhi,2026-08-08,1
2026-08-08 02:00:00,25.7,97.0,55.0,4.2,3,Delhi,2026-08-08,2
2026-08-08 03:00:00,25.1,98.0,63.0,9.0,95,Delhi,2026-08-08,3
2026-08-08 04:00:00,25.0,98.0,70.0,6.8,51,Delhi,2026-08-08,4
2026-08-08 05:00:00,24.9,98.0,73.0,7.1,51,Delhi,2026-08-08,5
2026-08-08 06:00:00,25.2,98.0,65.0,7.6,51,Delhi,2026-08-08,6
2026-08-08 07:00:00,26.0,93.0,53.0,9.2,3,Delhi,2026-08-08,7
2026-08-08 08:00:00,27.2,86.0,47.0,11.7,3,Delhi,2026-08-08,8
2026-08-08 09:00:00,28.2,83.0,55.0,10.1,2,Delhi,2026-08-08,9
2026-08-08 10:00:00,29.5,79.0,69.0,10.4,51,Delhi,2026-08-08,10
2026-08-08 11:00:00,30.8,75.0,80.0,11.2,51,Delhi,2026-08-08,11
2026-08-08 12:00:00,30.8,75.0,85.0,9.4,51,Delhi,2026-08-08,12
2026-08-08 13:00:00,31.2,74.0,87.0,8.6,95,Delhi,2026-08-08,13
2026-08-08 14:00:00,31.6,74.0,88.0,7.1,95,Delhi,2026-08-08,14
2026-08-08 15:00:00,31.7,74.0,88.0,5.8,51,Delhi,2026-08-08,15
2026-08-08 16:00:00,31.6,75.0,86.0,6.6,51,Delhi,2026-08-08,16
2026-08-08 17:00:00,31.6,72.0,82.0,6.3,51,Delhi,2026-08-08,17
2026-08-08 18:00:00,30.2,80.0,73.0,5.1,51,Delhi,2026-08-08,18
2026-08-08 19:00:00,29.4,85.0,61.0,4.9,51,Delhi,2026-08-08,19
2026-08-08 20:00:00,28.4,90.0,51.0,4.0,51,Delhi,2026-08-08,20
2026-08-08 21:00:00,27.6,95.0,44.0,5.5,51,Delhi,2026-08-08,21
2026-08-08 22:00:00,27.7,90.0,38.0,7.6,2,Delhi,2026-08-08,22
2026-08-08 23:00:00,27.4,90.0,33.0,9.7,2,Delhi,2026-08-08,23
2026-08-09 00:00:00,27.4,91.0,27.0,7.3,2,Delhi,2026-08-09,0
2026-08-09 01:00:00,27.0,94.0,20.0,4.2,1,Delhi,2026-08-09,1
2026-08-09 02:00:00,26.6,96.0,18.0,3.1,2,Delhi,2026-08-09,2
2026-08-09 03:00:00,26.4,97.0,23.0,1.7,2,Delhi,2026-08-09,3
2026-08-09 04:00:00,26.2,98.0,31.0,1.5,2,Delhi,2026-08-09,4
2026-08-09 05:00:00,26.2,97.0,37.0,4.5,2,Delhi,2026-08-09,5
2026-08-09 06:00:00,26.7,93.0,37.0,6.8,3,Delhi,2026-08-09,6
2026-08-09 07:00:00,27.1,91.0,35.0,7.7,51,Delhi,2026-08-09,7
2026-08-09 08:00:00,28.1,85.0,37.0,10.3,2,Delhi,2026-08-09,8
2026-08-09 09:00:00,29.0,80.0,49.0,10.4,51,Delhi,2026-08-09,9
2026-08-09 10:00:00,30.0,76.0,66.0,10.8,51,Delhi,2026-08-09,10
2026-08-09 11:00:00,31.2,71.0,78.0,10.7,51,Delhi,2026-08-09,11
2026-08-09 12:00:00,31.6,70.0,80.0,10.4,95,Delhi,2026-08-09,12
2026-08-09 13:00:00,31.9,70.0,77.0,8.6,51,Delhi,2026-08-09,13
2026-08-09 14:00:00,32.2,70.0,73.0,7.1,95,Delhi,2026-08-09,14
2026-08-09 15:00:00,32.2,71.0,71.0,6.2,51,Delhi,2026-08-09,15
2026-08-09 16:00:00,32.1,72.0,69.0,4.9,51,Delhi,2026-08-09,16
2026-08-09 17:00:00,29.1,86.0,65.0,10.6,96,Delhi,2026-08-09,17
2026-08-09 18:00:00,28.5,90.0,56.0,10.1,95,Delhi,2026-08-09,18
2026-08-09 19:00:00,28.0,92.0,46.0,8.9,95,Delhi,2026-08-09,19
2026-08-09 20:00:00,27.6,94.0,37.0,7.8,95,Delhi,2026-08-09,20
2026-08-09 21:00:00,27.4,95.0,32.0,7.1,51,Delhi,2026-08-09,21
2026-08-09 22:00:00,27.4,95.0,29.0,6.6,51,Delhi,2026-08-09,22
2026-08-09 23:00:00,27.3,95.0,27.0,6.2,51,Delhi,2026-08-09,23
2026-08-10 00:00:00,27.1,96.0,26.0,5.6,3,Delhi,2026-08-10,0
2026-08-10 01:00:00,26.9,97.0,26.0,5.1,3,Delhi,2026-08-10,1
2026-08-10 02:00:00,26.7,97.0,25.0,4.5,3,Delhi,2026-08-10,2
2026-08-10 03:00:00,26.5,98.0,22.0,4.1,2,Delhi,2026-08-10,3
2026-08-10 04:00:00,26.3,99.0,19.0,3.8,1,Delhi,2026-08-10,4
2026-08-10 05:00:00,26.4,99.0,18.0,3.6,1,Delhi,2026-08-10,5
2026-08-10 06:00:00,27.0,95.0,19.0,3.8,0,Delhi,2026-08-10,6
2026-08-10 07:00:00,27.8,91.0,21.0,4.6,1,Delhi,2026-08-10,7
2026-08-10 08:00:00,28.5,87.0,27.0,5.2,1,Delhi,2026-08-10,8
2026-08-10 09:00:00,29.2,84.0,40.0,4.8,95,Delhi,2026-08-10,9
2026-08-10 10:00:00,29.7,81.0,56.0,4.2,95,Delhi,2026-08-10,10
2026-08-10 11:00:00,30.2,78.0,69.0,4.3,95,Delhi,2026-08-10,11
2026-08-10 12:00:00,30.4,78.0,77.0,4.9,95,Delhi,2026-08-10,12
2026-08-10 13:00:00,30.5,78.0,82.0,5.8,95,Delhi,2026-08-10,13
2026-08-10 14:00:00,30.6,79.0,84.0,6.0,95,Delhi,2026-08-10,14
2026-08-10 15:00:00,30.8,77.0,84.0,5.5,51,Delhi,2026-08-10,15
2026-08-10 16:00:00,30.9,76.0,82.0,4.4,51,Delhi,2026-08-10,16
2026-08-10 17:00:00,30.8,77.0,76.0,3.5,51,Delhi,2026-08-10,17
2026-08-10 18:00:00,30.1,81.0,63.0,3.2,51,Delhi,2026-08-10,18
2026-08-10 19:00:00,29.0,87.0,47.0,3.6,51,Delhi,2026-08-10,19
2026-08-10 20:00:00,28.1,93.0,37.0,3.5,51,Delhi,2026-08-10,20
2026-08-10 21:00:00,27.3,95.0,38.0,2.5,96,Delhi,2026-08-10,21
2026-08-10 22:00:00,26.5,97.0,45.0,3.3,96,Delhi,2026-08-10,22
2026-08-10 23:00:00,26.0,98.0,49.0,4.6,96,Delhi,2026-08-10,23
2026-08-11 00:00:00,25.9,98.0,46.0,4.5,51,Delhi,2026-08-11,0
2026-08-11 01:00:00,26.0,98.0,40.0,4.0,51,Delhi,2026-08-11,1
2026-08-11 02:00:00,26.1,98.0,37.0,3.1,51,Delhi,2026-08-11,2
2026-08-11 03:00:00,26.0,99.0,41.0,2.4,3,Delhi,2026-08-11,3
2026-08-11 04:00:00,25.9,99.0,48.0,2.7,3,Delhi,2026-08-11,4
2026-08-11 05:00:00,26.0,98.0,55.0,3.8,3,Delhi,2026-08-11,5
2026-08-11 06:00:00,26.5,96.0,58.0,4.2,3,Delhi,2026-08-11,6
2026-08-11 07:00:00,27.3,92.0,61.0,4.2,3,Delhi,2026-08-11,7
2026-08-11 08:00:00,27.9,89.0,65.0,4.1,3,Delhi,2026-08-11,8
2026-08-11 09:00:00,28.4,86.0,74.0,4.3,95,Delhi,2026-08-11,9
2026-08-11 10:00:00,28.7,83.0,84.0,4.3,95,Delhi,2026-08-11,10
2026-08-11 11:00:00,29.1,81.0,92.0,4.5,95,Delhi,2026-08-11,11
2026-08-11 12:00:00,29.6,81.0,95.0,4.5,95,Delhi,2026-08-11,12
2026-08-11 13:00:00,30.2,80.0,96.0,4.7,95,Delhi,2026-08-11,13
2026-08-11 14:00:00,30.6,80.0,94.0,4.8,95,Delhi,2026-08-11,14
2026-08-11 15:00:00,31.0,77.0,90.0,5.6,51,Delhi,2026-08-11,15
2026-08-11 16:00:00,31.2,74.0,83.0,6.7,51,Delhi,2026-08-11,16
2026-08-11 17:00:00,31.0,74.0,73.0,6.7,51,Delhi,2026-08-11,17
2026-08-11 18:00:00,29.7,80.0,58.0,3.7,95,Delhi,2026-08-11,18
2026-08-11 19:00:00,28.0,89.0,41.0,1.4,95,Delhi,2026-08-11,19
2026-08-11 20:00:00,26.7,97.0,27.0,4.5,95,Delhi,2026-08-11,20
2026-08-11 21:00:00,26.4,99.0,20.0,5.2,51,Delhi,2026-08-11,21
2026-08-11 22:00:00,26.5,99.0,17.0,4.8,51,Delhi,2026-08-11,22
2026-08-11 23:00:00,26.7,98.0,18.0,4.3,51,Delhi,2026-08-11,23
2026-08-12 00:00:00,26.4,95.0,24.0,4.6,51,Delhi,2026-08-12,0
2026-08-12 01:00:00,26.1,96.0,34.0,3.3,51,Delhi,2026-08-12,1
2026-08-12 02:00:00,25.9,97.0,42.0,2.1,51,Delhi,2026-08-12,2
2026-08-12 03:00:00,25.7,98.0,44.0,1.3,51,Delhi,2026-08-12,3
2026-08-12 04:00:00,25.8,98.0,45.0,2.1,51,Delhi,2026-08-12,4
2026-08-12 05:00:00,26.0,97.0,45.0,2.7,51,Delhi,2026-08-12,5
2026-08-12 06:00:00,26.6,93.0,46.0,2.7,3,Delhi,2026-08-12,6
2026-08-12 07:00:00,27.6,89.0,48.0,2.5,3,Delhi,2026-08-12,7
2026-08-12 08:00:00,28.7,84.0,50.0,2.2,2,Delhi,2026-08-12,8
2026-08-12 09:00:00,29.8,80.0,52.0,1.9,2,Delhi,2026-08-12,9
2026-08-12 10:00:00,30.8,76.0,54.0,1.8,1,Delhi,2026-08-12,10
2026-08-12 11:00:00,31.5,73.0,57.0,1.8,1,Delhi,2026-08-12,11
2026-08-12 12:00:00,31.9,72.0,61.0,1.5,51,Delhi,2026-08-12,12
2026-08-12 13:00:00,32.2,71.0,65.0,1.7,51,Delhi,2026-08-12,13
2026-08-12 14:00:00,32.4,71.0,68.0,2.4,51,Delhi,2026-08-12,14
2026-08-12 15:00:00,32.4,71.0,71.0,3.6,51,Delhi,2026-08-12,15
2026-08-12 16:00:00,32.3,72.0,73.0,4.7,51,Delhi,2026-08-12,16
2026-08-12 17:00:00,32.1,73.0,73.0,5.6,51,Delhi,2026-08-12,17
2026-08-12 18:00:00,31.6,75.0,69.0,6.1,51,Delhi,2026-08-12,18
2026-08-12 19:00:00,30.8,78.0,62.0,6.7,51,Delhi,2026-08-12,19
2026-08-12 20:00:00,29.8,82.0,55.0,7.0,51,Delhi,2026-08-12,20
2026-08-12 21:00:00,28.9,87.0,48.0,7.4,51,Delhi,2026-08-12,21
2026-08-12 22:00:00,28.0,91.0,40.0,7.4,51,Delhi,2026-08-12,22
2026-08-12 23:00:00,27.4,94.0,35.0,7.5,51,Delhi,2026-08-12,23
