time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-01 00:00:00,27.9,88.0,28.0,10.8,3,Delhi,2026-08-01,0
2026-08-01 01:00:00,27.1,94.0,37.0,9.4,96,Delhi,2026-08-01,1
2026-08-01 02:00:00,27.1,92.0,41.0,11.0,1,Delhi,2026-08-01,2
2026-08-01 03:00:00,27.1,91.0,33.0,11.1,1,Delhi,2026-08-01,3
2026-08-01 04:00:00,27.2,91.0,20.0,10.3,1,Delhi,2026-08-01,4
2026-08-01 05:00:00,27.0,91.0,14.0,10.6,51,Delhi,2026-08-01,5
2026-08-01 06:00:00,27.2,90.0,20.0,11.4,51,Delhi,2026-08-01,6
2026-08-01 07:00:00,27.8,88.0,33.0,11.8,51,Delhi,2026-08-01,7
2026-08-01 08:00:00,28.5,84.0,47.0,12.4,51,Delhi,2026-08-01,8
2026-08-01 09:00:00,29.5,80.0,60.0,13.5,51,Delhi,2026-08-01,9
2026-08-01 10:00:00,30.7,75.0,73.0,13.4,3,Delhi,2026-08-01,10
2026-08-01 11:00:00,30.5,74.0,84.0,12.8,95,Delhi,2026-08-01,11
2026-08-01 12:00:00,30.4,74.0,91.0,10.8,95,Delhi,2026-08-01,12
2026-08-01 13:00:00,30.9,77.0,95.0,10.5,95,Delhi,2026-08-01,13
2026-08-01 14:00:00,31.4,70.0,96.0,11.3,95,Delhi,2026-08-01,14
2026-08-01 15:00:00,30.8,75.0,95.0,9.9,51,Delhi,2026-08-01,15
2026-08-01 16:00:00,30.7,76.0,91.0,9.2,51,Delhi,2026-08-01,16
2026-08-01 17:00:00,30.3,77.0,86.0,9.4,51,Delhi,2026-08-01,17
2026-08-01 18:00:00,29.7,82.0,82.0,5.5,95,Delhi,2026-08-01,18
2026-08-01 19:00:00,29.2,84.0,77.0,8.5,3,Delhi,2026-08-01,19
2026-08-01 20:00:00,28.9,85.0,67.0,9.4,3,Delhi,2026-08-01,20
2026-08-01 21:00:00,28.6,86.0,47.0,11.8,3,Delhi,2026-08-01,21
2026-08-01 22:00:00,27.9,87.0,23.0,10.8,3,Delhi,2026-08-01,22
2026-08-01 23:00:00,27.3,89.0,6.0,10.3,3,Delhi,2026-08-01,23
2026-08-02 00:00:00,26.8,91.0,3.0,9.1,2,Delhi,2026-08-02,0
2026-08-02 01:00:00,26.6,92.0,7.0,9.1,3,Delhi,2026-08-02,1
2026-08-02 02:00:00,26.3,93.0,12.0,8.8,3,Delhi,2026-08-02,2
2026-08-02 03:00:00,26.3,94.0,16.0,7.3,2,Delhi,2026-08-02,3
2026-08-02 04:00:00,26.3,94.0,20.0,8.2,3,Delhi,2026-08-02,4
2026-08-02 05:00:00,26.1,95.0,24.0,7.8,3,Delhi,2026-08-02,5
2026-08-02 06:00:00,26.7,93.0,25.0,10.3,3,Delhi,2026-08-02,6
2026-08-02 07:00:00,27.4,90.0,25.0,10.8,3,Delhi,2026-08-02,7
2026-08-02 08:00:00,28.1,88.0,29.0,12.4,51,Delhi,2026-08-02,8
2026-08-02 09:00:00,29.3,82.0,39.0,8.8,51,Delhi,2026-08-02,9
2026-08-02 10:00:00,30.5,78.0,52.0,9.8,95,Delhi,2026-08-02,10
2026-08-02 11:00:00,31.2,75.0,63.0,8.1,95,Delhi,2026-08-02,11
2026-08-02 12:00:00,31.8,71.0,68.0,8.3,96,Delhi,2026-08-02,12
2026-08-02 13:00:00,29.8,78.0,71.0,8.4,95,Delhi,2026-08-02,13
2026-08-02 14:00:00,30.7,77.0,73.0,7.4,95,Delhi,2026-08-02,14
2026-08-02 15:00:00,30.5,76.0,77.0,10.6,95,Delhi,2026-08-02,15
2026-08-02 16:00:00,30.6,78.0,81.0,5.7,95,Delhi,2026-08-02,16
2026-08-02 17:00:00,30.2,79.0,80.0,7.8,51,Delhi,2026-08-02,17
2026-08-02 18:00:00,29.5,83.0,70.0,6.1,3,Delhi,2026-08-02,18
2026-08-02 19:00:00,28.8,87.0,56.0,5.6,3,Delhi,2026-08-02,19
2026-08-02 20:00:00,28.4,90.0,43.0,5.3,3,Delhi,2026-08-02,20
2026-08-02 21:00:00,28.2,91.0,34.0,7.4,3,Delhi,2026-08-02,21
2026-08-02 22:00:00,28.0,91.0,26.0,8.1,3,Delhi,2026-08-02,22
2026-08-02 23:00:00,27.7,92.0,20.0,6.7,3,Delhi,2026-08-02,23
2026-08-03 00:00:00,27.5,93.0,17.0,5.9,3,Delhi,2026-08-03,0
2026-08-03 01:00:00,27.3,95.0,16.0,7.0,3,Delhi,2026-08-03,1
2026-08-03 02:00:00,27.0,95.0,16.0,8.7,3,Delhi,2026-08-03,2
2026-08-03 03:00:00,26.8,96.0,17.0,8.3,3,Delhi,2026-08-03,3
2026-08-03 04:00:00,26.7,96.0,18.0,6.9,2,Delhi,2026-08-03,4
2026-08-03 05:00:00,26.6,96.0,20.0,7.0,3,Delhi,2026-08-03,5
2026-08-03 06:00:00,26.7,95.0,21.0,6.2,2,Delhi,2026-08-03,6
2026-08-03 07:00:00,27.5,92.0,21.0,9.0,3,Delhi,2026-08-03,7
2026-08-03 08:00:00,28.6,86.0,25.0,8.2,51,Delhi,2026-08-03,8
2026-08-03 09:00:00,29.4,83.0,34.0,7.4,51,Delhi,2026-08-03,9
2026-08-03 10:00:00,30.6,80.0,45.0,7.2,51,Delhi,2026-08-03,10
2026-08-03 11:00:00,31.7,76.0,55.0,7.2,95,Delhi,2026-08-03,11
2026-08-03 12:00:00,32.5,71.0,60.0,7.1,3,Delhi,2026-08-03,12
2026-08-03 13:00:00,32.1,70.0,64.0,8.2,95,Delhi,2026-08-03,13
2026-08-03 14:00:00,30.5,77.0,67.0,7.7,95,Delhi,2026-08-03,14
2026-08-03 15:00:00,31.4,75.0,72.0,5.2,51,Delhi,2026-08-03,15
2026-08-03 16:00:00,31.4,76.0,76.0,5.9,95,Delhi,2026-08-03,16
2026-08-03 17:00:00,30.0,81.0,75.0,5.2,95,Delhi,2026-08-03,17
2026-08-03 18:00:00,28.4,88.0,66.0,8.4,53,Delhi,2026-08-03,18
2026-08-03 19:00:00,27.9,92.0,53.0,3.2,95,Delhi,2026-08-03,19
2026-08-03 20:00:00,27.8,93.0,41.0,7.7,3,Delhi,2026-08-03,20
2026-08-03 21:00:00,27.4,94.0,33.0,6.2,3,Delhi,2026-08-03,21
2026-08-03 22:00:00,26.8,94.0,26.0,4.7,95,Delhi,2026-08-03,22
2026-08-03 23:00:00,26.4,96.0,22.0,5.2,96,Delhi,2026-08-03,23
2026-08-04 00:00:00,26.3,97.0,22.0,4.2,80,Delhi,2026-08-04,0
2026-08-04 01:00:00,25.9,97.0,25.0,7.6,55,Delhi,2026-08-04,1
2026-08-04 02:00:00,25.7,98.0,27.0,5.7,51,Delhi,2026-08-04,2
2026-08-04 03:00:00,25.5,98.0,28.0,5.1,51,Delhi,2026-08-04,3
2026-08-04 04:00:00,25.4,98.0,28.0,4.3,3,Delhi,2026-08-04,4
2026-08-04 05:00:00,25.5,98.0,29.0,4.9,3,Delhi,2026-08-04,5
2026-08-04 06:00:00,25.8,96.0,28.0,5.9,3,Delhi,2026-08-04,6
2026-08-04 07:00:00,26.6,91.0,28.0,5.2,3,Delhi,2026-08-04,7
2026-08-04 08:00:00,27.6,86.0,31.0,4.6,3,Delhi,2026-08-04,8
2026-08-04 09:00:00,28.3,83.0,42.0,1.6,3,Delhi,2026-08-04,9
2026-08-04 10:00:00,28.7,81.0,57.0,0.6,3,Delhi,2026-08-04,10
2026-08-04 11:00:00,29.5,80.0,69.0,3.0,51,Delhi,2026-08-04,11
2026-08-04 12:00:00,30.9,77.0,77.0,4.3,95,Delhi,2026-08-04,12
2026-08-04 13:00:00,31.1,76.0,82.0,3.5,95,Delhi,2026-08-04,13
2026-08-04 14:00:00,31.5,76.0,84.0,2.7,95,Delhi,2026-08-04,14
2026-08-04 15:00:00,31.4,77.0,83.0,1.9,95,Delhi,2026-08-04,15
2026-08-04 16:00:00,31.3,77.0,80.0,3.0,51,Delhi,2026-08-04,16
2026-08-04 17:00:00,28.7,87.0,75.0,6.5,96,Delhi,2026-08-04,17
2026-08-04 18:00:00,27.8,91.0,70.0,4.3,96,Delhi,2026-08-04,18
2026-08-04 19:00:00,27.0,94.0,63.0,1.0,96,Delhi,2026-08-04,19
2026-08-04 20:00:00,26.4,97.0,57.0,2.8,96,Delhi,2026-08-04,20
2026-08-04 21:00:00,26.2,98.0,49.0,2.3,51,Delhi,2026-08-04,21
2026-08-04 22:00:00,26.3,98.0,42.0,1.3,51,Delhi,2026-08-04,22
2026-08-04 23:00:00,26.4,98.0,37.0,2.2,51,Delhi,2026-08-04,23
2026-08-05 00:00:00,26.4,98.0,38.0,2.0,3,Delhi,2026-08-05,0
2026-08-05 01:00:00,26.3,98.0,41.0,1.1,3,Delhi,2026-08-05,1
2026-08-05 02:00:00,26.3,98.0,45.0,0.8,3,Delhi,2026-08-05,2
2026-08-05 03:00:00,26.2,97.0,48.0,1.9,51,Delhi,2026-08-05,3
2026-08-05 04:00:00,26.0,97.0,50.0,3.6,51,Delhi,2026-08-05,4
2026-08-05 05:00:00,26.0,96.0,53.0,4.7,51,Delhi,2026-08-05,5
2026-08-05 06:00:00,26.0,95.0,57.0,4.7,51,Delhi,2026-08-05,6
2026-08-05 07:00:00,26.2,95.0,62.0,4.9,51,Delhi,2026-08-05,7
2026-08-05 08:00:00,26.6,92.0,65.0,4.9,51,Delhi,2026-08-05,8
2026-08-05 09:00:00,27.7,87.0,65.0,4.0,51,Delhi,2026-08-05,9
2026-08-05 10:00:00,29.0,81.0,64.0,2.7,51,Delhi,2026-08-05,10
2026-08-05 11:00:00,30.1,77.0,65.0,1.5,51,Delhi,2026-08-05,11
2026-08-05 12:00:00,30.7,75.0,72.0,1.0,51,Delhi,2026-08-05,12
2026-08-05 13:00:00,31.2,74.0,80.0,0.8,95,Delhi,2026-08-05,13
2026-08-05 14:00:00,31.2,75.0,86.0,1.3,51,Delhi,2026-08-05,14
2026-08-05 15:00:00,30.5,79.0,86.0,3.5,96,Delhi,2026-08-05,15
2026-08-05 16:00:00,29.5,85.0,83.0,6.6,96,Delhi,2026-08-05,16
2026-08-05 17:00:00,28.7,90.0,78.0,8.0,96,Delhi,2026-08-05,17
2026-08-05 18:00:00,28.3,92.0,70.0,6.1,51,Delhi,2026-08-05,18
2026-08-05 19:00:00,28.2,92.0,61.0,2.3,51,Delhi,2026-08-05,19
2026-08-05 20:00:00,28.1,93.0,53.0,0.7,51,Delhi,2026-08-05,20
2026-08-05 21:00:00,28.1,93.0,48.0,1.4,3,Delhi,2026-08-05,21
2026-08-05 22:00:00,28.0,94.0,44.0,1.3,3,Delhi,2026-08-05,22
2026-08-05 23:00:00,27.8,95.0,45.0,1.7,3,Delhi,2026-08-05,23
2026-08-06 00:00:00,27.2,96.0,53.0,3.1,95,Delhi,2026-08-06,0
2026-08-06 01:00:00,26.4,98.0,65.0,5.0,95,Delhi,2026-08-06,1
2026-08-06 02:00:00,25.8,99.0,75.0,5.8,95,Delhi,2026-08-06,2
2026-08-06 03:00:00,25.5,99.0,79.0,4.6,96,Delhi,2026-08-06,3
2026-08-06 04:00:00,25.3,98.0,81.0,2.8,96,Delhi,2026-08-06,4
2026-08-06 05:00:00,25.3,97.0,82.0,2.3,96,Delhi,2026-08-06,5
2026-08-06 06:00:00,25.5,96.0,83.0,2.4,53,Delhi,2026-08-06,6
2026-08-06 07:00:00,25.8,95.0,83.0,4.0,53,Delhi,2026-08-06,7
2026-08-06 08:00:00,26.1,94.0,82.0,5.1,53,Delhi,2026-08-06,8
