time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-08-05 00:00:00,27.4,97.0,64.0,1.7,3,Delhi,2026-08-05,0
2026-08-05 01:00:00,27.3,97.0,52.0,2.1,3,Delhi,2026-08-05,1
2026-08-05 02:00:00,27.2,93.0,45.0,1.7,3,Delhi,2026-08-05,2
2026-08-05 03:00:00,26.9,95.0,48.0,1.8,3,Delhi,2026-08-05,3
2026-08-05 04:00:00,26.9,93.0,56.0,3.1,3,Delhi,2026-08-05,4
2026-08-05 05:00:00,26.6,94.0,61.0,0.7,51,Delhi,2026-08-05,5
2026-08-05 06:00:00,26.7,93.0,57.0,3.3,51,Delhi,2026-08-05,6
2026-08-05 07:00:00,27.1,92.0,50.0,2.5,51,Delhi,2026-08-05,7
2026-08-05 08:00:00,28.1,89.0,45.0,0.6,51,Delhi,2026-08-05,8
2026-08-05 09:00:00,29.4,83.0,45.0,2.6,3,Delhi,2026-08-05,9
2026-08-05 10:00:00,30.5,78.0,47.0,3.4,1,Delhi,2026-08-05,10
2026-08-05 11:00:00,31.6,73.0,51.0,3.2,95,Delhi,2026-08-05,11
2026-08-05 12:00:00,31.3,73.0,57.0,4.0,3,Delhi,2026-08-05,12
2026-08-05 13:00:00,31.5,73.0,64.0,4.7,3,Delhi,2026-08-05,13
2026-08-05 14:00:00,32.1,70.0,69.0,4.5,95,Delhi,2026-08-05,14
2026-08-05 15:00:00,32.3,70.0,72.0,5.3,3,Delhi,2026-08-05,15
2026-08-05 16:00:00,31.6,70.0,72.0,8.5,95,Delhi,2026-08-05,16
2026-08-05 17:00:00,30.7,77.0,71.0,8.8,95,Delhi,2026-08-05,17
2026-08-05 18:00:00,30.5,78.0,67.0,1.9,3,Delhi,2026-08-05,18
2026-08-05 19:00:00,29.3,84.0,61.0,4.5,51,Delhi,2026-08-05,19
2026-08-05 20:00:00,28.7,88.0,55.0,4.5,3,Delhi,2026-08-05,20
2026-08-05 21:00:00,28.2,90.0,48.0,5.0,3,Delhi,2026-08-05,21
2026-08-05 22:00:00,27.8,93.0,40.0,4.4,3,Delhi,2026-08-05,22
2026-08-05 23:00:00,26.7,96.0,37.0,6.6,96,Delhi,2026-08-05,23
2026-08-06 00:00:00,26.3,99.0,42.0,6.9,95,Delhi,2026-08-06,0
2026-08-06 01:00:00,26.1,98.0,53.0,5.8,53,Delhi,2026-08-06,1
2026-08-06 02:00:00,25.8,98.0,63.0,6.0,53,Delhi,2026-08-06,2
2026-08-06 03:00:00,25.2,99.0,72.0,7.3,96,Delhi,2026-08-06,3
2026-08-06 04:00:00,25.0,99.0,81.0,3.2,96,Delhi,2026-08-06,4
2026-08-06 05:00:00,25.0,99.0,88.0,1.4,96,Delhi,2026-08-06,5
2026-08-06 06:00:00,25.3,97.0,91.0,2.9,95,Delhi,2026-08-06,6
2026-08-06 07:00:00,25.2,98.0,91.0,2.8,95,Delhi,2026-08-06,7
2026-08-06 08:00:00,25.6,96.0,90.0,2.6,80,Delhi,2026-08-06,8
2026-08-06 09:00:00,26.9,87.0,88.0,1.9,55,Delhi,2026-08-06,9
2026-08-06 10:00:00,26.9,87.0,85.0,1.5,53,Delhi,2026-08-06,10
