time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-07-31 00:00:00,28.6,89.0,4.0,11.2,3,Delhi,2026-07-31,0
2026-07-31 01:00:00,28.4,89.0,12.0,10.5,3,Delhi,2026-07-31,1
2026-07-31 02:00:00,28.3,88.0,16.0,10.3,3,Delhi,2026-07-31,2
2026-07-31 03:00:00,28.1,87.0,11.0,10.4,3,Delhi,2026-07-31,3
2026-07-31 04:00:00,27.9,87.0,3.0,10.9,3,Delhi,2026-07-31,4
2026-07-31 05:00:00,27.7,86.0,0.0,11.3,3,Delhi,2026-07-31,5
2026-07-31 06:00:00,27.7,85.0,5.0,11.2,3,Delhi,2026-07-31,6
2026-07-31 07:00:00,28.1,83.0,14.0,12.2,3,Delhi,2026-07-31,7
2026-07-31 08:00:00,28.8,79.0,27.0,15.3,51,Delhi,2026-07-31,8
2026-07-31 09:00:00,29.7,75.0,46.0,15.5,51,Delhi,2026-07-31,9
2026-07-31 10:00:00,30.4,72.0,68.0,14.9,51,Delhi,2026-07-31,10
2026-07-31 11:00:00,31.1,69.0,84.0,15.9,51,Delhi,2026-07-31,11
2026-07-31 12:00:00,31.3,71.0,90.0,14.7,95,Delhi,2026-07-31,12
2026-07-31 13:00:00,31.7,71.0,91.0,12.8,95,Delhi,2026-07-31,13
2026-07-31 14:00:00,31.9,70.0,88.0,12.4,95,Delhi,2026-07-31,14
2026-07-31 15:00:00,31.8,71.0,82.0,11.2,95,Delhi,2026-07-31,15
2026-07-31 16:00:00,31.8,71.0,72.0,10.5,3,Delhi,2026-07-31,16
2026-07-31 17:00:00,31.6,70.0,61.0,9.0,3,Delhi,2026-07-31,17
2026-07-31 18:00:00,31.1,72.0,47.0,9.1,3,Delhi,2026-07-31,18
2026-07-31 19:00:00,30.1,76.0,32.0,8.5,3,Delhi,2026-07-31,19
2026-07-31 20:00:00,29.1,81.0,20.0,12.8,95,Delhi,2026-07-31,20
2026-07-31 21:00:00,28.3,86.0,13.0,10.2,51,Delhi,2026-07-31,21
2026-07-31 22:00:00,28.1,87.0,10.0,11.3,3,Delhi,2026-07-31,22
2026-07-31 23:00:00,27.9,88.0,8.0,11.4,3,Delhi,2026-07-31,23
2026-08-01 00:00:00,27.7,89.0,5.0,12.0,2,Delhi,2026-08-01,0
2026-08-01 01:00:00,27.6,89.0,4.0,12.0,1,Delhi,2026-08-01,1
2026-08-01 02:00:00,27.4,90.0,6.0,11.3,2,Delhi,2026-08-01,2
2026-08-01 03:00:00,27.3,90.0,14.0,11.4,3,Delhi,2026-08-01,3
2026-08-01 04:00:00,26.9,90.0,26.0,12.6,51,Delhi,2026-08-01,4
